SUBSETID	MEMBERID	MEMBERSTATUS	LINKEDID
80681000000136	102875003	1	
80681000000136	1051441000000109	1	
80681000000136	1051451000000107	1	
80681000000136	1051461000000105	1	
80681000000136	105472004	1	
80681000000136	105473009	1	
80681000000136	105474003	1	
80681000000136	123161008	1	
80681000000136	15130002	1	
80681000000136	151326001	1	
80681000000136	176843009	1	
80681000000136	176844003	1	
80681000000136	176996001	1	
80681000000136	177037000	1	
80681000000136	177038005	1	
80681000000136	177039002	1	
80681000000136	177042008	1	
80681000000136	183035002	1	
80681000000136	213199004	1	
80681000000136	213200001	1	
80681000000136	213201002	1	
80681000000136	213202009	1	
80681000000136	213203004	1	
80681000000136	22387007	1	
80681000000136	225244002	1	
80681000000136	225247009	1	
80681000000136	225248004	1	
80681000000136	225249007	1	
80681000000136	225250007	1	
80681000000136	229821000000106	1	
80681000000136	229831000000108	1	
80681000000136	229841000000104	1	
80681000000136	229971000000102	1	
80681000000136	231921000000104	1	
80681000000136	232161000000103	1	
80681000000136	233111000000108	1	
80681000000136	236363003	1	
80681000000136	236364009	1	
80681000000136	236365005	1	
80681000000136	236894009	1	
80681000000136	236895005	1	
80681000000136	236896006	1	
80681000000136	236912008	1	
80681000000136	236913003	1	
80681000000136	236914009	1	
80681000000136	236915005	1	
80681000000136	238312005	1	
80681000000136	252939009	1	
80681000000136	263301000000102	1	
80681000000136	263321000000106	1	
80681000000136	265064001	1	
80681000000136	265082003	1	
80681000000136	27508009	1	
80681000000136	276907003	1	
80681000000136	283891000000104	1	
80681000000136	309096008	1	
80681000000136	312645003	1	
80681000000136	31276007	1	
80681000000136	315952009	1	
80681000000136	32581000119101	1	
80681000000136	32591000119103	1	
80681000000136	360950001	1	
80681000000136	3851003	1	
80681000000136	391241000000101	1	
80681000000136	410381000000104	1	
80681000000136	41057000	1	
80681000000136	411101000000103	1	
80681000000136	424522003	1	
80681000000136	425644009	1	
80681000000136	425866000	1	
80681000000136	425901007	1	
80681000000136	426250000	1	
80681000000136	426389008	1	
80681000000136	426417003	1	
80681000000136	426914002	1	
80681000000136	426968007	1	
80681000000136	427664000	1	
80681000000136	427961000000100	1	
80681000000136	42862001	1	
80681000000136	430882007	1	
80681000000136	432787004	1	
80681000000136	433475001	1	
80681000000136	439247007	1	
80681000000136	439790009	1	
80681000000136	440645004	1	
80681000000136	440687002	1	
80681000000136	440688007	1	
80681000000136	440691000000100	1	
80681000000136	441198005	1	
80681000000136	441200004	1	
80681000000136	441209003	1	
80681000000136	441222006	1	
80681000000136	441276006	1	
80681000000136	441369004	1	
80681000000136	441427002	1	
80681000000136	441463002	1	
80681000000136	441465009	1	
80681000000136	441468006	1	
80681000000136	443633009	1	
80681000000136	446934006	1	
80681000000136	448543003	1	
80681000000136	451871000000106	1	
80681000000136	46249006	1	
80681000000136	52637005	1	
80681000000136	57233006	1	
80681000000136	58533008	1	
80681000000136	63487001	1	
80681000000136	66601000	1	
80681000000136	711544002	1	
80681000000136	75456002	1	
80681000000136	75615008	1	
80681000000136	765291000000105	1	
80681000000136	92831004	1	
80661000000131	12277671000119109	1	
80661000000131	12277711000119108	1	
80661000000131	13670005	1	
80661000000131	149785007	1	
80661000000131	149787004	1	
80661000000131	149953000	1	
80661000000131	176532008	1	
80661000000131	18003009	1	
80661000000131	180060001	1	
80661000000131	180061002	1	
80661000000131	191780004	1	
80661000000131	191782007	1	
80661000000131	191783002	1	
80661000000131	191784008	1	
80661000000131	191785009	1	
80661000000131	191786005	1	
80661000000131	191787001	1	
80661000000131	191790007	1	
80661000000131	191798000	1	
80661000000131	192507000	1	
80661000000131	192508005	1	
80661000000131	192509002	1	
80661000000131	192510007	1	
80661000000131	192511006	1	
80661000000131	229641005	1	
80661000000131	248091009	1	
80661000000131	248108005	1	
80661000000131	24878005	1	
80661000000131	265619004	1	
80661000000131	280377008	1	
80661000000131	282272009	1	
80661000000131	285116001	1	
80661000000131	30509009	1	
80661000000131	308591000000104	1	
80661000000131	309011000000105	1	
80661000000131	3503000	1	
80661000000131	379351000000102	1	
80661000000131	407374003	1	
80661000000131	407375002	1	
80661000000131	407376001	1	
80661000000131	407377005	1	
80661000000131	407378000	1	
80661000000131	407379008	1	
80661000000131	412311000000105	1	
80661000000131	412321000000104	1	
80661000000131	416911009	1	
80661000000131	42775008	1	
80661000000131	428405009	1	
80661000000131	4296008	1	
80661000000131	441524006	1	
80661000000131	442041000000100	1	
80661000000131	46904000	1	
80661000000131	472945003	1	
80661000000131	472946002	1	
80661000000131	472947006	1	
80661000000131	472948001	1	
80661000000131	472949009	1	
80661000000131	472950009	1	
80661000000131	472977000	1	
80661000000131	472981000	1	
80661000000131	472989003	1	
80661000000131	490221000000106	1	
80661000000131	50878001	1	
80661000000131	5095008	1	
80661000000131	51427007	1	
80661000000131	539961000000103	1	
80661000000131	539971000000105	1	
80661000000131	539981000000107	1	
80661000000131	54417002	1	
80661000000131	544321000000107	1	
80661000000131	57715001	1	
80661000000131	59216005	1	
80661000000131	61180001	1	
80661000000131	61262002	1	
80661000000131	63495002	1	
80661000000131	637621000000104	1	
80661000000131	64334007	1	
80661000000131	67123006	1	
80661000000131	68963006	1	
80661000000131	714186001	1	
80661000000131	714189008	1	
80661000000131	7278005	1	
80661000000131	75186000	1	
80661000000131	77815007	1	
80661000000131	87991007	1	
80661000000131	93461009	1	
80661000000131	936281000000103	1	
80661000000131	938481000000103	1	
80691000000139	10227000	1	
80691000000139	103408004	1	
80691000000139	103411003	1	
80691000000139	103412005	1	
80691000000139	103413000	1	
80691000000139	103414006	1	
80691000000139	103415007	1	
80691000000139	103416008	1	
80691000000139	103417004	1	
80691000000139	103418009	1	
80691000000139	10345003	1	
80691000000139	104011000119109	1	
80691000000139	104332002	1	
80691000000139	104333007	1	
80691000000139	1053901000000104	1	
80691000000139	1054001000000101	1	
80691000000139	10746341000119109	1	
80691000000139	10754031000119105	1	
80691000000139	10754701000119100	1	
80691000000139	10759841000119105	1	
80691000000139	10759921000119107	1	
80691000000139	1084821000119103	1	
80691000000139	1087051000119109	1	
80691000000139	1087061000119106	1	
80691000000139	1087151000119108	1	
80691000000139	109436001	1	
80691000000139	110041000119104	1	
80691000000139	1107004	1	
80691000000139	111806005	1	
80691000000139	111807001	1	
80691000000139	111880001	1	
80691000000139	112121000119105	1	
80691000000139	11338007	1	
80691000000139	117747006	1	
80691000000139	117748001	1	
80691000000139	117749009	1	
80691000000139	117750009	1	
80691000000139	117751008	1	
80691000000139	117752001	1	
80691000000139	117753006	1	
80691000000139	118005001	1	
80691000000139	118018009	1	
80691000000139	118019001	1	
80691000000139	118038005	1	
80691000000139	118039002	1	
80691000000139	118040000	1	
80691000000139	118041001	1	
80691000000139	118042008	1	
80691000000139	118043003	1	
80691000000139	118044009	1	
80691000000139	118045005	1	
80691000000139	118046006	1	
80691000000139	118047002	1	
80691000000139	118048007	1	
80691000000139	118049004	1	
80691000000139	118050004	1	
80691000000139	118051000	1	
80691000000139	118052007	1	
80691000000139	118053002	1	
80691000000139	118054008	1	
80691000000139	118055009	1	
80691000000139	118056005	1	
80691000000139	118057001	1	
80691000000139	118058006	1	
80691000000139	118059003	1	
80691000000139	118060008	1	
80691000000139	118061007	1	
80691000000139	118062000	1	
80691000000139	118063005	1	
80691000000139	118064004	1	
80691000000139	118065003	1	
80691000000139	118066002	1	
80691000000139	118067006	1	
80691000000139	118068001	1	
80691000000139	118069009	1	
80691000000139	118070005	1	
80691000000139	118071009	1	
80691000000139	118072002	1	
80691000000139	118073007	1	
80691000000139	118074001	1	
80691000000139	118075000	1	
80691000000139	118076004	1	
80691000000139	11906007	1	
80691000000139	122203005	1	
80691000000139	12232008	1	
80691000000139	12373006	1	
80691000000139	129670002	1	
80691000000139	13095005	1	
80691000000139	13310005	1	
80691000000139	13731006	1	
80691000000139	143474003	1	
80691000000139	143475002	1	
80691000000139	151004	1	
80691000000139	15175004	1	
80691000000139	155984003	1	
80691000000139	15628003	1	
80691000000139	16070004	1	
80691000000139	1621000119101	1	
80691000000139	165813002	1	
80691000000139	165816005	1	
80691000000139	166106008	1	
80691000000139	166107004	1	
80691000000139	166401000000102	1	
80691000000139	166491000000109	1	
80691000000139	168326009	1	
80691000000139	168343007	1	
80691000000139	168359007	1	
80691000000139	168361003	1	
80691000000139	170530008	1	
80691000000139	171128005	1	
80691000000139	17305005	1	
80691000000139	179101003	1	
80691000000139	183905006	1	
80691000000139	186698009	1	
80691000000139	186706006	1	
80691000000139	186707002	1	
80691000000139	186708007	1	
80691000000139	186710009	1	
80691000000139	186711008	1	
80691000000139	186712001	1	
